"问题": "BSC阻断多久算重大故障?"|"答复": "任一BSC发生阻断超过60分钟被视为重大故障。"

"问题": "2G基站多少数量同时阻断3小时算重大故障?"|"答复": "一个本地网（地市）内40个（含）以上2G基站，且载频总数超过500个（含），同时阻断3小时，或者120个（含）以上2G基站同时阻断超过1小时，才会触发重大故障定义。"

"问题": "LTE基站多少个同时阻断3小时为重大故障?"|"答复": "一个本地网（地市）内60个（含）以上LTE基站同时阻断（包括脱管类基站），持续3小时，会被认定为重大故障。"

"问题": "5G基站多少个同时阻断3小时定义为重大故障?"|"答复": "对于5G基站，40个（含）以上5G基站同时阻断（含脱管类基站）3小时，或者120个（含）以上5G基站同时阻断（含脱管类基站）超过1小时，视为重大故障。"

"问题": "高铁网络GSM RRU多少个同时阻断3小时是重大故障?"|"答复": "在高铁网络中，30个（含）以上GSM RRU同时阻断3小时，或者90个（含）以上GSM RRU在8点至23点间同时阻断超过1小时，会被视为重大故障。"

"问题": "高铁网络LTE RRU多少个同时阻断1小时算重大故障?"|"答复": "高铁网络内的LTE RRU，30个（含）以上同时阻断1小时，或者90个（含）以上在同一时段内阻断，即构成重大故障。"

"问题": "本地网LTE基站脱管情况下的重大故障标准是什么?"|"答复": 在本地网（地市），如果LTE基站脱管，达到150个（含）以上基站同时脱管超过1小时，将被视为重大故障，无论是否持续3小时。”

"问题": "40个以上2G基站阻断3小时的条件是什么?"|"答复": 当40个（含）以上2G基站同时阻断，并且这些基站的载频总数超过500个（含），并且这个状态持续3小时，才符合重大故障的标准。"

"问题": "120个以上5G基站同时阻断1小时的后果是什么?"|"答复": 如果120个（含）以上的5G基站同时阻断超过1小时，这将被视为重大故障，可能会导致严重的通信中断和服务质量下降。"

"问题": "家客业务重大故障与LTE基站阻断有何关系?"|"答复": 家客业务的重大故障定义通常不直接涉及LTE基站的数量，但两者可能有间接关联，因为通信网络的整体稳定性对家客服务至关重要，如果LTE基站出现大规模故障，可能会影响家客业务的正常运行。"
