"问题": "BSC阻断多久算重大故障？"|"答复": "任一BSC发生阻断超过60分钟被视为重大故障。"

"问题": "2G基站多少数量同时阻断3小时为重大故障？"|"答复": 在一个本地网（地市）内，40个（含）以上2G基站（且载频总数超过500个（含））同时阻断3小时构成重大故障。"

"问题": "LTE基站多少数量同时阻断3小时触发重大故障？"|"答复": 一个本地网（地市）内60个（含）以上LTE基站同时阻断（含脱管类基站）3小时，将触发重大故障。"

"问题": "5G基站多少数量同时阻断3小时定义为重大故障？"|"答复": 一个本地网（地市）内40个（含）以上5G基站同时阻断（含脱管类基站）3小时，或120个（含）以上5G基站同时阻断3小时为重大故障。"

"问题": "高铁GSM RRU多少数量同时阻断3小时为重大故障？"|"答复": 高铁网络中，一个本地网（地市）内30个（含）以上GSM RRU同时阻断3小时算重大故障。"

"问题": "高铁LTE RRU多少数量同时阻断1小时即算重大故障？"|"答复": 高铁网络中，一个本地网（地市）内90个（含）以上LTE RRU同时阻断超过1小时为重大故障，统计时段为8点至23点。"

"问题": "任一BSC阻断多久算任一本地网重大故障？"|"答复": 任一BSC发生阻断超过60分钟，无论在哪个本地网（地市），都视为重大故障。"

"问题": "超过多少个LTE基站脱管会构成重大故障？"|"答复": 没有明确提到具体数量，但提及了150个（含）以上LTE基站同时脱管超过1小时会构成重大故障，这可能意味着达到一定数量就会触发。"

"问题": "家客业务阻断时间达到多少触发重大故障？"|"答复": 同一地市10000个用户（含）以上的家客业务同时阻断超过1小时会触发重大故障。"

"问题": "500个载频的2G基站同时阻断多长时间算重大故障？"|"答复": 对于500个载频的2G基站，没有直接给出具体的时长，但提到的是120个基站同时阻断超过1小时为重大故障，可以推测单个基站可能需要达到相应的严重程度才会被视为重大故障，但具体时长未明说。"
