"问题": "BSC阻断多久算重大故障?"|"答复": "任一BSC发生阻断超过60分钟，即达到重大故障定义。"

"问题": "2G基站同时阻断多少个、多长时间算重大故障?"|"答复": 在一个本地网（地市）内，40个（含）以上2G基站同时阻断3小时，或者120个（含）以上2G基站同时阻断超过1小时，才会被视为重大故障。"

"问题": "LTE基站同时阻断多少个、多长时间触发重大故障?"|"答复": 一个本地网（地市）内60个（含）以上LTE基站同时阻断3小时，或者150个（含）以上LTE基站同时阻断超过1小时，即构成重大故障。"

"问题": "5G基站同时阻断条件下的重大故障定义是什么?"|"答复": 一个本地网（地市）内40个（含）以上5G基站同时阻断3小时，或者120个（含）以上5G基站同时阻断超过1小时，这种情况会触发重大故障。"

"问题": "高铁网络GSM RRU阻断的门限时间是多少?"|"答复": 高铁网络GSM RRU的阻断门限时间为，90个（含）以上GSM RRU在统计时段（8点-23点）内同时阻断超过1小时，才会判定为重大故障。"

"问题": "高铁网络LTE RRU阻断的门限时间如何定义?"|"答复": 高铁网络LTE RRU的门限时间是，30个（含）以上LTE RRU在统计时段（8点-23点）内同时阻断3小时，或者90个（含）以上LTE RRU同时阻断超过1小时，视为重大故障。"

"问题": "40个2G基站阻断3小时是否为重大故障?"|"答复": 是的，40个（含）以上2G基站同时阻断3小时符合重大故障的条件。"

"问题": "150个LTE基站1小时以上阻断算重大故障吗?"|"答复": 不，只有150个（含）以上LTE基站同时阻断超过1小时，才算是重大故障。"

"问题": "5G基站120个同时阻断1小时，是否重大故障?"|"答复": 是的，120个（含）以上5G基站同时阻断1小时达到了重大故障的定义。"

"问题": "GSM RRU高铁网络90个阻断1小时，是否重大故障?"|"答复": 不，GSM RRU高铁网络中，90个阻断1小时并未达到重大故障的门限条件，只有超过1小时才符合。"
