"问题": "BSC阻断多久算重大故障?"|"答复": "任一BSC发生阻断超过60分钟即被视为重大故障。"

"问题": "2G基站同时阻断多少个、多长时间算重大故障?"|"答复": 在一个本地网（地市）内，40个（含）以上2G基站同时阻断3小时，或者120个（含）以上2G基站同时阻断超过1小时，都构成重大故障。”

"问题": "LTE基站同时阻断多少个、多长时间算重大故障?"|"答复": 一个本地网（地市）内，60个（含）以上LTE基站同时阻断（含脱管类基站）3小时，或者150个（含）以上LTE基站同时阻断（含脱管类基站）超过1小时，属于重大故障。”

"问题": "5G基站同时阻断多少个、多长时间算重大故障?"|"答复": 一个本地网（地市）内，40个（含）以上5G基站同时阻断（含脱管类基站）3小时，或者120个（含）以上5G基站同时阻断（含脱管类基站）超过1小时，会触发重大故障定义。"

"问题": "高铁网络GSM RRU阻断条件是什么?"|"答复": 高铁网络内，30个（含）以上GSM RRU同时阻断3小时，或者90个（含）以上GSM RRU在8点到23点期间同时阻断超过1小时，会导致重大故障。”

"问题": "高铁网络LTE RRU阻断条件是什么?"|"答复": 高铁网络中，30个（含）以上LTE RRU同时阻断3小时，或者90个（含）以上LTE RRU在8点到23点期间同时阻断超过1小时，会被视为重大故障事件。"

"问题": "本地网LTE基站脱管情况如何计算重大故障?"|"答复": 当本地网LTE基站脱管达到60个（含）以上持续3小时，或者150个（含）以上脱管超过1小时，这将被视为重大故障。"

"问题": "本地网40个以上5G基站阻断3小时的定义?"|"答复": 40个（含）以上的5G基站同时出现阻断，且持续时间达到3小时，会被认定为重大故障。"

"问题": "120个以上5G基站阻断1小时的严重程度如何?"|"答复": 120个（含）以上的5G基站在任何时段内发生阻断超过1小时，也构成重大故障级别的影响。"

"问题": "定义家客业务的重大故障标准是什么?"|"答复": 家客业务的重大故障定义为同一地市10000个用户（含）以上的业务同时阻断超过1小时。"
