"问题": "BSC阻断多久被视为重大故障？"|"答复": "任一BSC发生阻断超过60分钟会被视为重大故障。"

"问题": "2G基站多少数量同时阻断3小时算重大故障？"|"答复": "一个本地网（地市）内40个（含）以上2G基站，且载频总数超过500个（含），同时阻断3小时会被视为重大故障。或者，120个（含）以上2G基站同时阻断超过1小时也构成重大故障。"

"问题": "LTE基站多少数量同时阻断3小时定义重大故障？"|"答复": "一个本地网（地市）内60个（含）以上LTE基站同时阻断（含脱管类基站）3小时，会触发重大故障。"

"问题": "5G基站同时阻断3小时的故障门槛是多少？"|"答复": "一个本地网（地市）内40个（含）以上5G基站同时阻断（含脱管类基站）3小时，或者120个（含）以上5G基站同时阻断（含脱管类基站）超过1小时，会被视为重大故障。"

"问题": "GSM RRU高铁网络中多少数量阻断3小时算重大故障？"|"答复": 在高铁网络中，30个（含）以上GSM RRU同时阻断3小时，或者90个（含）以上GSM RRU在8点至23点期间同时阻断超过1小时会被视为重大故障。"

"问题": "LTE RRU高铁网络的故障阈值是多少同时阻断3小时？"|"答复": 一个本地网（地市）高铁网络内，30个（含）以上LTE RRU同时阻断3小时会被认为是重大故障。"

"问题": "本地网LTE基站脱管情况如何定义为重大故障？"|"答复": 如果60个（含）以上LTE基站（含脱管类基站）同时脱管3小时，这将被认定为重大故障。"

"问题": "40个以上2G基站阻断多久触发重大故障？"|"答复": 40个（含）以上2G基站，只要阻断时间超过3小时，就会触发重大故障。"

"问题": "120个以上2G基站同时阻断1小时的严重性如何？"|"答复": 120个（含）以上2G基站同时阻断超过1小时，也是构成重大故障的情况。"

"问题": "60个以上LTE基站同时脱管3小时的重大性如何？"|"答复": 60个（含）以上LTE基站的脱管情况持续3小时，将被视为重大故障。"
